Date,Open,High,Low,Close,Adj Close,Volume
2017-05-30,153.419998,154.429993,153.330002,153.669998,153.669998,20126900
2017-05-31,153.970001,154.169998,152.380005,152.759995,152.759995,24451200
2017-06-01,153.169998,153.330002,152.220001,153.179993,153.179993,16404100
2017-06-02,153.580002,155.449997,152.889999,155.449997,155.449997,27770700
2017-06-05,154.339996,154.449997,153.460007,153.929993,153.929993,25331700
2017-06-06,153.899994,155.809998,153.779999,154.449997,154.449997,26624900
2017-06-07,155.020004,155.979996,154.479996,155.369995,155.369995,21069600
2017-06-08,155.250000,155.539993,154.399994,154.990005,154.990005,21112300
2017-06-09,155.190002,155.190002,146.020004,148.979996,148.979996,64882700
2017-06-12,145.740005,146.089996,142.509995,145.419998,145.419998,72307300
2017-06-13,147.160004,147.449997,145.149994,146.589996,146.589996,34165400
2017-06-14,147.500000,147.500000,143.839996,145.160004,145.160004,31531200
2017-06-15,143.320007,144.479996,142.210007,144.289993,144.289993,32165400
2017-06-16,143.779999,144.500000,142.199997,142.270004,142.270004,50361100
2017-06-19,143.660004,146.740005,143.660004,146.339996,146.339996,32541400
2017-06-20,146.869995,146.869995,144.940002,145.009995,145.009995,24900100
2017-06-21,145.520004,146.070007,144.610001,145.869995,145.869995,21265800
2017-06-22,145.770004,146.699997,145.119995,145.630005,145.630005,19106300
2017-06-23,145.130005,147.160004,145.110001,146.279999,146.279999,35439400
2017-06-26,147.169998,148.279999,145.380005,145.820007,145.820007,25692400
2017-06-27,145.009995,146.160004,143.619995,143.729996,143.729996,24547000
